CodVenta;Provincia;Vendedor;FormaPago;Producto;Categoria; Precio ; Cantidad ; Ventas 
ven345;Pasco;Ana;Cheque;Carne;Carne_Enlatada;258 ;64 ;7700 
ven349;Pasco;Ana;Cheque;Aceite;Aceite;299 ;88 ;5460 
ven351;Tumbes;Ana;Tarjeta;Almejas;Sopas;135 ;44 ;17934 
ven357;Pasco;Ana;Cheque;Carne;Carne_Enlatada;258 ;10 ;1716 
ven359;Pasco;Ana;Tarjeta;Carne;Carne_Enlatada;258 ;66 ;54880 
ven363;Tumbes;Ana;Tarjeta;Carne;Carne_Enlatada;258 ;24 ;14646 
ven008;Pisco;Andres;Efectivo;Galleta;Productos_Horneados;29 ;73 ;2016 
ven021;Pisco;Andres;Tarjeta;Arroz;Granos;98 ;37 ;18026 
ven026;Pisco;Andres;Tarjeta;Arroz;Granos;98 ;37 ;35280 
ven031;Pisco;Andres;Cheque;MermeladaZarzora;Mermelada_Jaleas;1134 ;23 ;22386 
ven043;Pisco;Andres;Efectivo;MermeladaZarzora;Mermelada_Jaleas;1134 ;32 ;586 
ven044;Pisco;Andres;Tarjeta;MermeladaZarzora;Mermelada_Jaleas;1134 ;82 ;45724 
ven058;Pisco;Andres;Tarjeta;PastaPintada;Pasta;532 ;85 ;13860 
ven066;Pisco;Andres;Tarjeta;Arroz;Granos;98 ;29 ;21896 
ven069;Pisco;Andres;Tarjeta;Arroz;Granos;98 ;42 ;15120 
ven076;Pisco;Andres;Cheque;PerasSecas;FrutasSecas;14 ;57 ;6311 
ven096;Pisco;Andres;Tarjeta;PastaPintada;Pasta;532 ;59 ;6580 
ven107;Pisco;Andres;Cheque;PerasSecas;FrutasSecas;420 ;100 ;11592 
ven126;Pisco;Andres;Cheque;ManzanaSecas;FrutasSecas;742 ;27 ;1000 
ven129;Pisco;Andres;Tarjeta;MermeladaZarzora;Mermelada_Jaleas;1134 ;38 ;5978 
ven151;Pisco;Andres;Efectivo;Arroz;Granos;98 ;61 ;1546 
ven172;Pisco;Andres;Efectivo;Arroz;Granos;98 ;72 ;15456 
ven173;Pisco;Andres;Tarjeta;MermeladaZarzora;Mermelada_Jaleas;1134 ;77 ;2576 
ven178;Pisco;Andres;Tarjeta;CiruelasSecas;FrutasSecas;49 ;48 ;7308 
ven193;Pisco;Andres;Tarjeta;CiruelasSecas;FrutasSecas;12 ;68 ;23957 
ven196;Pisco;Andres;Tarjeta;Arroz;Granos;98 ;39 ;11693 
ven197;Pisco;Andres;Tarjeta;MermeladaZarzora;Mermelada_Jaleas;1134 ;98 ;32900 
ven207;Pisco;Andres;Tarjeta;Galleta;Productos_Horneados;129 ;62 ;5925 
ven221;Pisco;Andres;Efectivo;ManzanaSecas;FrutasSecas;16 ;72 ;57316 
ven222;Pisco;Andres;Cheque;Galleta;Productos_Horneados;129 ;80 ;5944 
ven248;Pisco;Andres;Tarjeta;PastaPintada;Pasta;532 ;96 ;22154 
ven252;Pisco;Andres;Tarjeta;MermeladaZarzora;Mermelada_Jaleas;1134 ;52 ;12970 
ven254;Pisco;Andres;Tarjeta;Arroz;Granos;98 ;76 ;19578 
ven285;Pisco;Andres;Tarjeta;MermeladaZarzora;Mermelada_Jaleas;1134 ;55 ;2051 
ven296;Pisco;Andres;Tarjeta;CiruelasSecas;FrutasSecas;49 ;70 ;10192 
ven316;Pisco;Andres;Cheque;MermeladaZarzora;Mermelada_Jaleas;1134 ;54 ;16660 
ven347;Pisco;Andres;Tarjeta;Arroz;Granos;98 ;19 ;10046 
ven001;Talara;Hugo;Efectivo;Cerveza;Bebidas;196 ;67 ;13860 
ven005;Talara;Hugo;Efectivo;SalsaCurry;Salsas;560 ;94 ;23184 
ven012;Talara;Hugo;Tarjeta;Cerveza;Bebidas;196 ;84 ;5809 
ven015;Talara;Hugo;Tarjeta;Chocolate;Dulces;179 ;16 ;39760 
ven020;Talara;Hugo;Efectivo;Cerveza;Bebidas;196 ;68 ;12159 
ven024;Talara;Hugo;Efectivo;Chocolate;Dulces;179 ;44 ;20608 
ven033;Talara;Hugo;Cheque;Cerveza;Bebidas;196 ;52 ;12852 
ven034;Talara;Hugo;Efectivo;Chocolate;Dulces;179 ;76 ;12674 
ven036;Talara;Hugo;Cheque;Chocolate;Dulces;179 ;71 ;1674 
ven049;Talara;Hugo;Tarjeta;Cerveza;Bebidas;196 ;85 ;21000 
ven063;Talara;Hugo;Tarjeta;SalsaCurry;Salsas;560 ;17 ;264 
ven070;Talara;Hugo;Tarjeta;Cerveza;Bebidas;196 ;65 ;2499 
ven079;Talara;Hugo;Efectivo;Chocolate;Dulces;179 ;72 ;16450 
ven087;Talara;Hugo;Efectivo;Cerveza;Bebidas;196 ;98 ;4894 
ven097;Talara;Hugo;Efectivo;SalsaCurry;Salsas;560 ;63 ;9918 
ven099;Talara;Hugo;Tarjeta;Chocolate;Dulces;179 ;44 ;1152 
ven108;Talara;Hugo;Efectivo;Chocolate;Dulces;179 ;82 ;7854 
ven127;Talara;Hugo;Efectivo;Chocolate;Dulces;179 ;96 ;17920 
ven140;Talara;Hugo;Efectivo;Chocolate;Dulces;179 ;96 ;3558 
ven165;Talara;Hugo;Tarjeta;SalsaCurry;Salsas;33 ;64 ;9940 
ven199;Talara;Hugo;Cheque;ManzanaSecas;FrutasSecas;742 ;16 ;17002 
ven200;Talara;Hugo;Efectivo;ManzanaSecas;FrutasSecas;742 ;14 ;2679 
ven202;Talara;Hugo;Tarjeta;Cerveza;Bebidas;196 ;84 ;9187 
ven205;Talara;Hugo;Efectivo;Cerveza;Bebidas;196 ;53 ;3626 
ven226;Talara;Hugo;Tarjeta;Chocolate;Dulces;179 ;15 ;26901 
ven269;Talara;Hugo;Cheque;Chocolate;Dulces;179 ;41 ;31388 
ven281;Talara;Hugo;Cheque;ManzanaSecas;FrutasSecas;742 ;34 ;15708 
ven283;Talara;Hugo;Tarjeta;SalsaCurry;Salsas;560 ;32 ;8316 
ven292;Talara;Hugo;Efectivo;Chocolate;Dulces;179 ;12 ;4999 
ven297;Talara;Hugo;Tarjeta;PerasSecas;FrutasSecas;420 ;46 ;10889 
ven302;Talara;Hugo;Tarjeta;Chocolate;Dulces;179 ;19 ;3392 
ven303;Talara;Hugo;Cheque;Cerveza;Bebidas;32 ;75 ;3140 
ven319;Talara;Hugo;Efectivo;PerasSecas;FrutasSecas;420 ;33 ;9240 
ven324;Talara;Hugo;Tarjeta;PerasSecas;FrutasSecas;420 ;96 ;980 
ven350;Talara;Hugo;Cheque;Chocolate;Dulces;179 ;28 ;19320 
ven057;Huancayo;Jose;Efectivo;Cerveza;Bebidas;196 ;23 ;1036 
ven062;Huancayo;Jose;Tarjeta;Cerveza;Bebidas;196 ;21 ;3360 
ven072;Huancayo;Jose;Tarjeta;Cerveza;Bebidas;196 ;72 ;12835 
ven075;Huancayo;Jose;Cheque;Cerveza;Bebidas;196 ;78 ;47600 
ven081;Huancayo;Jose;Tarjeta;Chocolate;Dulces;12 ;79 ;14000 
ven102;Huancayo;Jose;Efectivo;Cerveza;Bebidas;196 ;50 ;12740 
ven177;Huancayo;Jose;Tarjeta;Cerveza;Bebidas;196 ;42 ;20020 
ven231;Huancayo;Jose;Cheque;CoctelFrutas;Frutas_Vegetales;546 ;54 ;13566 
ven249;Huancayo;Jose;Tarjeta;Cerveza;Bebidas;196 ;38 ;4760 
ven255;Huancayo;Jose;Cheque;Cerveza;Bebidas;196 ;96 ;10584 
ven263;Huancayo;Jose;Efectivo;CoctelFrutas;Frutas_Vegetales;546 ;98 ;1005 
ven266;Huancayo;Jose;Cheque;Chocolate;Dulces;179 ;14 ;13860 
ven298;Huancayo;Jose;Tarjeta;Chocolate;Dulces;179 ;47 ;102 
ven352;Huancayo;Jose;Efectivo;CoctelFrutas;Frutas_Vegetales;546 ;26 ;4116 
ven354;Huancayo;Jose;Efectivo;Cerveza;Bebidas;196 ;79 ;28644 
ven358;Huancayo;Jose;Efectivo;Chocolate;Dulces;179 ;35 ;15288 
ven016;Conchucos;Julian;Efectivo;SalsaCurry;Salsas;560 ;28 ;5040 
ven029;Conchucos;Julian;Efectivo;Jarabe;Condimentos;140 ;82 ;15680 
ven032;Conchucos;Julian;Efectivo;SalsaCurry;Salsas;560 ;12 ;720 
ven048;abancay;Julian;Tarjeta;CiruelasSecas;FrutasSecas;49 ;70 ;1722 
ven054;abancay;Julian;Efectivo;Cafe;Bebidas;42 ;41 ;25760 
ven080;Conchucos;Julian;Efectivo;SalsaCurry;Salsas;560 ;10 ;8243 
ven135;abancay;Julian;Tarjeta;Cerveza;Bebidas;196 ;14 ;17136 
ven136;Conchucos;Julian;Efectivo;TeVerde;Bebidas;42 ;24 ;13328 
ven164;Conchucos;Julian;Efectivo;SalsaCurry;Salsas;560 ;71 ;29120 
ven167;abancay;Julian;Tarjeta;Cafe;Bebidas;644 ;83 ;9800 
ven168;Conchucos;Julian;Cheque;Almejas;Sopas;135 ;96 ;2400 
ven175;Conchucos;Julian;Tarjeta;TeVerde;Bebidas;42 ;75 ;11872 
ven182;Conchucos;Julian;Efectivo;Almejas;Sopas;135 ;95 ;798 
ven188;Conchucos;Julian;Tarjeta;Jarabe;Condimentos;140 ;99 ;4637 
ven203;Conchucos;Julian;Efectivo;Almejas;Sopas;28 ;37 ;50960 
ven204;Conchucos;Julian;Efectivo;SalsaCurry;Salsas;560 ;88 ;34 
ven212;abancay;Julian;Efectivo;TeChai;Bebidas;252 ;74 ;12365 
ven219;abancay;Julian;Tarjeta;CiruelasSecas;FrutasSecas;34 ;1 ;24211 
ven225;Conchucos;Julian;Tarjeta;TeVerde;Bebidas;42 ;88 ;27692 
ven228;abancay;Julian;Efectivo;TeChai;Bebidas;22 ;29 ;11480 
ven242;Conchucos;Julian;Efectivo;Jarabe;Condimentos;24 ;33 ;948 
ven261;Conchucos;Julian;Tarjeta;SalsaCurry;Salsas;21 ;51 ;13154 
ven267;Conchucos;Julian;Tarjeta;Jarabe;Condimentos;140 ;48 ;8260 
ven272;abancay;Julian;Efectivo;Cafe;Bebidas;644 ;96 ;43680 
ven273;Conchucos;Julian;Tarjeta;SalsaCurry;Salsas;560 ;24 ;1680 
ven274;Conchucos;Julian;Efectivo;SalsaCurry;Salsas;560 ;98 ;40320 
ven275;Conchucos;Julian;Efectivo;Jarabe;Condimentos;140 ;89 ;7319 
ven276;Conchucos;Julian;Cheque;Jarabe;Condimentos;140 ;11 ;26082 
ven280;Conchucos;Julian;Efectivo;Jarabe;Condimentos;140 ;71 ;1690 
ven288;abancay;Julian;Tarjeta;TeChai;Bebidas;252 ;57 ;4410 
ven327;Conchucos;Julian;Efectivo;Jarabe;Condimentos;140 ;36 ;61824 
ven332;abancay;Julian;Tarjeta;Cerveza;Bebidas;14 ;10 ;3684 
ven338;Conchucos;Julian;Tarjeta;SalsaCurry;Salsas;560 ;91 ;1340 
ven348;Conchucos;Julian;Cheque;Almejas;Sopas;135 ;43 ;14000 
ven355;Conchucos;Julian;Efectivo;Jarabe;Condimentos;140 ;24 ;62468 
ven002;Cusco;Lara;Tarjeta;Galleta;Productos_Horneados;129 ;75 ;1465 
ven003;Cusco;Lara;Efectivo;TeVerde;Bebidas;42 ;32 ;2321 
ven006;Cusco;Lara;Tarjeta;CiruelasSecas;FrutasSecas;49 ;21 ;12880 
ven010;Cusco;Lara;Efectivo;Galleta;Productos_Horneados;12 ;60 ;29876 
ven011;Cusco;Lara;Cheque;CiruelasSecas;FrutasSecas;49 ;11 ;7350 
ven023;Cusco;Lara;Tarjeta;CiruelasSecas;FrutasSecas;49 ;53 ;6720 
ven030;Cusco;Lara;Tarjeta;Galleta;Productos_Horneados;129 ;96 ;3056 
ven035;Cusco;Lara;Tarjeta;TeVerde;Bebidas;42 ;23 ;7854 
ven037;Cusco;Lara;Tarjeta;Galleta;Productos_Horneados;129 ;49 ;9592 
ven042;Cusco;Lara;Efectivo;AjiPanca;Condimentos;308 ;30 ;55384 
ven059;Cusco;Lara;Tarjeta;Bolillos;Productos_Horneados;140 ;34 ;2177 
ven060;Cusco;Lara;Tarjeta;Almendras;FrutasSecas;140 ;74 ;2401 
ven084;Cusco;Lara;Cheque;AjiPanca;Condimentos;308 ;93 ;42874 
ven101;Cusco;Lara;Efectivo;Galleta;Productos_Horneados;129 ;83 ;10304 
ven104;Cusco;Lara;Tarjeta;JaleaFresa;Mermelada_Jaleas;26 ;65 ;2597 
ven121;Cusco;Lara;Efectivo;Galleta;Productos_Horneados;129 ;34 ;13240 
ven123;Cusco;Lara;Tarjeta;Bolillos;Productos_Horneados;140 ;55 ;34104 
ven141;Cusco;Lara;Cheque;JaleaFresa;Mermelada_Jaleas;350 ;60 ;11396 
ven152;Cusco;Lara;Efectivo;Bolillos;Productos_Horneados;140 ;90 ;2135 
ven162;Cusco;Lara;Cheque;Bolillos;Productos_Horneados;140 ;49 ;4459 
ven174;Cusco;Lara;Efectivo;CiruelasSecas;FrutasSecas;49 ;78 ;45310 
ven183;Cusco;Lara;Efectivo;Almendras;FrutasSecas;140 ;20 ;2678 
ven186;Cusco;Lara;Tarjeta;AjiPanca;Condimentos;40 ;88 ;2567 
ven187;Cusco;Lara;Tarjeta;Bolillos;Productos_Horneados;140 ;94 ;819 
ven189;Cusco;Lara;Tarjeta;CiruelasSecas;FrutasSecas;49 ;27 ;18648 
ven191;Cusco;Lara;Efectivo;Galleta;Productos_Horneados;129 ;38 ;6215 
ven201;Cusco;Lara;Efectivo;JaleaFresa;Mermelada_Jaleas;350 ;52 ;7371 
ven206;Cusco;Lara;Efectivo;Bolillos;Productos_Horneados;140 ;46 ;1274 
ven210;Cusco;Lara;Tarjeta;AjiPanca;Condimentos;308 ;97 ;40880 
ven211;Cusco;Lara;Tarjeta;Almendras;FrutasSecas;140 ;12 ;2156 
ven214;Cusco;Lara;Tarjeta;JaleaFresa;Mermelada_Jaleas;350 ;40 ;2744 
ven220;Cusco;Lara;Tarjeta;TeVerde;Bebidas;42 ;41 ;34160 
ven223;Cusco;Lara;Tarjeta;JaleaFresa;Mermelada_Jaleas;350 ;47 ;9240 
ven229;Cusco;Lara;Cheque;Almendras;FrutasSecas;140 ;80 ;4365 
ven230;Cusco;Lara;Tarjeta;AjiPanca;Condimentos;308 ;51 ;6569 
ven233;Cusco;Lara;Tarjeta;Almendras;FrutasSecas;140 ;55 ;16464 
ven239;Cusco;Lara;Efectivo;Galleta;Productos_Horneados;129 ;13 ;7700 
ven240;Cusco;Lara;Cheque;JaleaFresa;Mermelada_Jaleas;350 ;27 ;51072 
ven250;Cusco;Lara;Tarjeta;CiruelasSecas;FrutasSecas;49 ;49 ;3479 
ven262;Cusco;Lara;Efectivo;Galleta;Productos_Horneados;129 ;41 ;140 
ven265;Cusco;Lara;Efectivo;Bolillos;Productos_Horneados;140 ;99 ;2679 
ven270;Cusco;Lara;Tarjeta;Almendras;FrutasSecas;140 ;59 ;29568 
ven278;Cusco;Lara;Tarjeta;TeVerde;Bebidas;42 ;88 ;3750 
ven287;Cusco;Lara;Efectivo;TeVerde;Bebidas;42 ;35 ;15484 
ven290;Cusco;Lara;Efectivo;Almendras;FrutasSecas;140 ;97 ;50960 
ven305;Cusco;Lara;Efectivo;TeVerde;Bebidas;41 ;96 ;8106 
ven307;Cusco;Lara;Tarjeta;AjiPanca;Condimentos;308 ;80 ;921 
ven309;Cusco;Lara;Efectivo;CiruelasSecas;FrutasSecas;49 ;90 ;2856 
ven315;Cusco;Lara;Tarjeta;AjiPanca;Condimentos;308 ;37 ;16486 
ven317;Cusco;Lara;Efectivo;JaleaFresa;Mermelada_Jaleas;350 ;94 ;17136 
ven335;Cusco;Lara;Cheque;Almendras;FrutasSecas;140 ;47 ;13132 
ven339;Cusco;Lara;Efectivo;AjiPanca;Condimentos;308 ;98 ;24948 
ven343;Cusco;Lara;Efectivo;AjiPanca;Condimentos;308 ;65 ;638 
ven353;Cusco;Lara;Efectivo;AjiPanca;Condimentos;308 ;96 ;11200 
ven356;Cusco;Lara;Efectivo;AjiPanca;Condimentos;308 ;20 ;13105 
ven361;Cusco;Lara;Efectivo;Bolillos;Productos_Horneados;140 ;100 ;12107 
ven362;Cusco;Lara;Tarjeta;Bolillos;Productos_Horneados;140 ;66 ;13160 
ven007;Chimbote;Nancy;Tarjeta;Galleta;Productos_Horneados;129 ;36 ;6248 
ven013;Chimbote;Nancy;Tarjeta;Galleta;Productos_Horneados;129 ;19 ;30694 
ven017;Lima;Nancy;Tarjeta;TeVerde;Bebidas;42 ;22 ;14637 
ven022;Lima;Nancy;Tarjeta;Carne;Carne_Enlatada;258 ;23 ;55384 
ven027;Trujillo;Nancy;Tarjeta;Cafe;Bebidas;644 ;86 ;5152 
ven038;Chimbote;Nancy;Cheque;Mozzarella;Productos_Lacteos;487 ;27 ;9016 
ven039;Chimbote;Nancy;Cheque;SalsaCurry;Salsas;560 ;38 ;3772 
ven040;Lima;Nancy;Tarjeta;Carne;Carne_Enlatada;258 ;45 ;27770 
ven050;Chimbote;Nancy;Efectivo;Galleta;Productos_Horneados;129 ;54 ;10819 
ven053;Lima;Nancy;Tarjeta;Carne;Carne_Enlatada;258 ;75 ;42000 
ven064;Lima;Nancy;Efectivo;Carne;Carne_Enlatada;258 ;13 ;8390 
ven065;Chimbote;Nancy;Efectivo;Chocolate;Dulces;179 ;57 ;14616 
ven067;Lima;Nancy;Tarjeta;TeChai;Bebidas;252 ;99 ;2117 
ven074;Chimbote;Nancy;Tarjeta;SalsaCurry;Salsas;560 ;73 ;2219 
ven088;Lima;Nancy;Tarjeta;TeVerde;Bebidas;43 ;18 ;49280 
ven091;Chimbote;Nancy;Tarjeta;Galleta;Productos_Horneados;129 ;76 ;19208 
ven093;Chimbote;Nancy;Tarjeta;SalsaCurry;Salsas;560 ;48 ;18290 
ven098;Lima;Nancy;Tarjeta;TeVerde;Bebidas;42 ;14 ;29484 
ven100;Lima;Nancy;Efectivo;Cafe;Bebidas;644 ;22 ;15680 
ven103;Lima;Nancy;Cheque;Carne;Carne_Enlatada;258 ;76 ;7448 
ven105;Lima;Nancy;Efectivo;Cafe;Bebidas;21 ;4 ;9789 
ven112;Chimbote;Nancy;Tarjeta;Chocolate;Dulces;179 ;41 ;14364 
ven115;Trujillo;Nancy;Efectivo;Cafe;Bebidas;644 ;41 ;61824 
ven116;Lima;Nancy;Tarjeta;Carne;Carne_Enlatada;258 ;71 ;33617 
ven119;Chimbote;Nancy;Tarjeta;Mozzarella;Productos_Lacteos;487 ;30 ;30694 
ven120;Chimbote;Nancy;Cheque;SalsaCurry;Salsas;560 ;91 ;22932 
ven122;Chimbote;Nancy;Efectivo;Mozzarella;Productos_Lacteos;487 ;24 ;10388 
ven124;Chimbote;Nancy;Tarjeta;SalsaCurry;Salsas;34 ;3 ;198 
ven130;Lima;Nancy;Cheque;TeVerde;Bebidas;42 ;51 ;18816 
ven132;Lima;Nancy;Efectivo;TeChai;Bebidas;252 ;42 ;9660 
ven133;Chimbote;Nancy;Tarjeta;Galleta;Productos_Horneados;11 ;18 ;43680 
ven134;Lima;Nancy;Efectivo;TeChai;Bebidas;252 ;29 ;3091 
ven138;Chimbote;Nancy;Efectivo;Chocolate;Dulces;179 ;13 ;13580 
ven139;Lima;Nancy;Efectivo;Cafe;Bebidas;644 ;97 ;111132 
ven144;Chimbote;Nancy;Tarjeta;Galleta;Productos_Horneados;129 ;100 ;1862 
ven147;Chimbote;Nancy;Tarjeta;SalsaCurry;Salsas;560 ;78 ;13440 
ven149;Chimbote;Nancy;Tarjeta;Mozzarella;Productos_Lacteos;487 ;63 ;1519 
ven154;Lima;Nancy;Tarjeta;TeChai;Bebidas;252 ;55 ;28258 
ven156;Chimbote;Nancy;Cheque;SalsaCurry;Salsas;560 ;28 ;37520 
ven159;Trujillo;Nancy;Efectivo;Cafe;Bebidas;644 ;31 ;26404 
ven160;Lima;Nancy;Tarjeta;TeChai;Bebidas;50 ;75 ;47012 
ven161;Chimbote;Nancy;Cheque;SalsaCurry;Salsas;560 ;85 ;4186 
ven180;Lima;Nancy;Efectivo;TeVerde;Bebidas;42 ;85 ;20034 
ven181;Lima;Nancy;Tarjeta;TeVerde;Bebidas;42 ;44 ;14816 
ven184;Chimbote;Nancy;Tarjeta;Mozzarella;Productos_Lacteos;487 ;22 ;10304 
ven185;Chimbote;Nancy;Efectivo;Chocolate;Dulces;179 ;43 ;3392 
ven190;Lima;Nancy;Tarjeta;TeVerde;Bebidas;42 ;64 ;9997 
ven192;Lima;Nancy;Tarjeta;Cafe;Bebidas;644 ;89 ;6720 
ven194;Lima;Nancy;Tarjeta;Cafe;Bebidas;644 ;77 ;5281 
